Course Title,Author,Origin,Completed,Certificate, Hours,Minutes
Constructing a User Interface with Angular,David Mann,https://www.pluralsight.com,05/04/2019,cert-constructing-ui-with-angular.png,4,35
Styling Angular Applications,Brian Treese,https://www.pluralsight.com,05/05/2019,cert-styling-angular-app.png,1,54
JavaScript: Getting Started,Mark Zamoyta,https://www.pluralsight.com,03/30/2019,cert-styling-angular-app.png,2,46
JavaScript: Getting Started,Mark Zamoyta,https://www.pluralsight.com,05/05/2019,cert-javascript-gettingstarted.png,2,46
Angular Forms,Mark Zamoyta,https://www.plur alsight.com,04/29/2019,cert-angular-forms.png,2,3
Structuring Angular Applications with Angular Libraries,Fabian Gosebrink,https://www.pluralsight.com,04/23/2019,cert-struct-angular-app-with-angular-libs.png,2,3
Play by Play: Angular and ngrx,Lars Klint and Duncan Hunter,https://www.pluralsight.com,04/22/2019,cert-pbp-angular-anrc.png,1,39
Angular Architecture and Best Practices,Dan Wahlin,https://www.pluralsight.com,04/21/2019,cert-angular-architecvture-and-best-practices.png,5,22
Play by Play: Insights from the Angular Team,Stephen Fluin and John Papa,https://www.pluralsight.com,03/31/2019,cert-insights-from-angular.png,1,19
ASP.NET Core Fundamentals,Scott Allen,https://www.udemy.com,03/26/2019,cert-aspdnet-core-fundamentals.png,5,49
Angular HTTP Communication,Brice Wilson,https://www.pluralsight.com,03/26/2019,cert-angular-http-communication.png,2,26
LINQ Fundamentals with C# 6.0,Scott Allen,https://www.pluralsight.com,03/25/2019,cert-linq-fundamentals.png,4,23
C# Fundamentals with Visual Studio 2015,Scott Alen,https://www.pluralsight.com,01/24/2019,cert-csharpfundvs2015-4127.png,5,21
C# 6 from Scratch,  author: ',https://www.pluralsight.com,12/05/2018,cert-csharp6-from-scratch.png,3,7
C# Generics,Scott Alen,https://www.pluralsight.com,01/20/2019,cert-csharpgen-4127.png,4,20
C# Best Practices: Improving on the Basics,Deborah Kurata,https://www.pluralsight.com,01/07/2019,cert-csharpbp-impr-4127.png,4,50
C# Best Practices: Collections and Generics,Deborah Kurata,https://www.pluralsight.com,01/03/2019,cert-csharpbp-collgen-4127.png,3,35
C#6 from scratch ,Jesse Liberty,https://www.pluralsight.com,07/15/2018,cert-csharp6scratch-4127.png,3,7
Angular Security Using JSON Web Tokens,Paul D. Sheriff,https://www.pluralsight.com,06/12/2018,cert-asujwt-07152018.png,2,50
Date and Time Fundamentals,Matt Johnson,https://www.pluralsight.com,04/30/2018,cert-dtf-04302018.png,6,19
Angular Routing,Deborah Kurata,https://www.pluralsight.com,04/02/2018,cert-ar-04022018.png,4,48
Angular Component Communication,Deborah Kurata,https://www.pluralsight.com,03/07/2018,cert-acc-03072018.png,3,39
Angular Best Practices,Jim Cooper,https://www.pluralsight.com,02/18/2018,cert-abp-02182018.png,1,41
CSS Positioning,Susan Simkins,https://www.pluralsight.com,04/24/2018,cert-cssp-04242018.png,0,50
TypeScript Fundamentals,John Papa and Dan Wahlin,https://www.pluralsight.com,03/29/2018,cert-tsf-03092018.png,4,25
Working with Angular Animations,Gary Simon,https://www.pluralsight.com,04/09/2018,cert-wwaa-04092018.png,1,27
Building Beautiful Angular Apps with PrimeNG,Glen Smith,https://www.pluralsight.com,01/31/2018,cert-bbaawp-01312018.png,3,8
Angular Reactive Forms,Deborah Kurata,https://www.pluralsight.com,04/29/2017,cert-arf-04292017.png,3,52
Angular 6 (formerly Angular 2) - The Complete Guide,Maximilian Schwarzmuller,https://www.udemy.com,01/08/2018,cert-UC-9GVOGJGJ-01082018.png,27,0 
Angular 2 Routing: Up And Running,BTree Press,https://www.udemy.com,03/17/2018,cert-UC-VI4V02BQ-03172018.png,0,42
The Complete Sass & SCSS Course: From Beginner to Advance,Joe Parys,https://www.udemy.com,12/30/2017,cert-UC-NLUM4IQ0-12172017.png,4,0
Bootstrap 4 Quick Start: Code Modern Responsive Website,Brad Hussey,https://www.udemy.com,04/06/2017,cert-UC-XRLSVCSR-04062017.png,4,0
AngularJS Fundamentals,by Joe Eames and Jim Cooper,https://www.pluralsight.com,05/26/2019,cert-angularjs-fundamentals.png,6,51
Preparing for Migration from AngularJS (1.x) to Angular (2+), by Joe Eames,https://www.pluralsight.com,05/28/2019,cert-preparingformigration-angularjs-angular.png,2,53
AngularJS Fundamentals,by Joe Eames and Jim Cooper,https://www.pluralsight.com,05/26/2019,cert-angularjs-fundamentals.png,6,51
Asynchronous C# 5.0,by Jon Skeet,https://www.pluralsight.com,12/07/2019,cert-async-csharp5.png,2,57 
Creating Asynchronous TypeScript Code,by John Papa,https://www.pluralsight.com,12/07/2019,cert-async-csharp5.png,1,51
Creating Object-oriented TypeScript Code,by Dan Wahlin,https://www.pluralsight.com,12/07/2019,cert-creating-async-typescript.png,2,11